vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Data Scientist,,,,Whoosh (ООО Вуш),Москва,https://chelyabinsk.hh.ru/vacancy/81057983?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Pricing),,,,Lamoda Tech,"Москва, Полежаевская и еще 1 ",https://chelyabinsk.hh.ru/vacancy/82138061?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,red_mad_robot,Москва,https://chelyabinsk.hh.ru/vacancy/81206057?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,Сбер. Data Science,Москва,https://chelyabinsk.hh.ru/vacancy/82701142?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,LC Group,Новосибирск,https://chelyabinsk.hh.ru/vacancy/77860633?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Разработчик-исследователь / Data Scientist в Data Office,,,,"VK, ВКонтакте",Санкт-Петербург,https://chelyabinsk.hh.ru/vacancy/82636334?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Синтез речи),,,,ООО АБК,Москва,https://chelyabinsk.hh.ru/vacancy/76391976?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (NLP),,,,Газпромбанк,Москва,https://chelyabinsk.hh.ru/vacancy/82133385?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,Сбер для экспертов,Москва,https://chelyabinsk.hh.ru/vacancy/82432479?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist middle+/senior (Транскодинг),,,,Okko,"Москва, Баррикадная и еще 2 ",https://chelyabinsk.hh.ru/vacancy/80975800?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle Data Scientist Модели CRM,,,,"Иннотех, Группа компаний",Москва,https://chelyabinsk.hh.ru/vacancy/82163809?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist,,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/82245032?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Data Scientist (Ads Platform),,,,Lamoda Tech,Москва,https://chelyabinsk.hh.ru/vacancy/80660744?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior NLP Data Scientist/Developer,,,,Техниксофт,Минск,https://chelyabinsk.hh.ru/vacancy/82449088?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Analyst,,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/81971249?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Analyst (DA)/Data Engineer(DE),,,,Сбер. IT,Москва,https://chelyabinsk.hh.ru/vacancy/83239666?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle Data Scientist,120000,250000,₽,ООО Автомакон,Москва,https://chelyabinsk.hh.ru/vacancy/82977137?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (Реклама и Медиа),,,,"VK, Рекламные технологии",Москва,https://chelyabinsk.hh.ru/vacancy/83455292?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist (ChatGPT и Copilot) MTS AI,,,,ПАО «МТС» ,Москва,https://chelyabinsk.hh.ru/vacancy/82205395?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Cпециалист по работе с данными (Data Scientist),,,,ООО Открытый код,"Самара, Алабинская",https://chelyabinsk.hh.ru/vacancy/79167028?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist,,,,Газпромбанк,Москва,https://chelyabinsk.hh.ru/vacancy/82848765?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
